"zip","city","county","pop"
"61115","Machesney Park","Winnebago","22404"
"61021","Dixon","Lee","22379"
"60178","Sycamore","De Kalb","22295"
"60419","Dolton","Cook","22289"
"60473","South Holland","Cook","22187"
"60008","Rolling Meadows","Cook","22007"
"61615","Peoria","Peoria","21878"
"60490","Bolingbrook","Will","21851"
"60443","Matteson","Cook","21698"
"60045","Lake Forest","Lake","21460"
"61938","Mattoon","Coles","21227"
"60164","Melrose Park","Cook","21120"
"62801","Centralia","Marion","21070"
"61081","Sterling","Whiteside","20910"
"60466","Park Forest","Cook","20856"
"60654","Chicago","Cook","20812"
"60450","Morris","Grundy","20600"
"60432","Joliet","Will","20282"
"60106","Bensenville","Du Page","20246"
"61802","Urbana","Champaign","20100"
"61073","Roscoe","Winnebago","20045"
"61455","Macomb","Mcdonough","20020"
"60093","Winnetka","Cook","19816"
"60430","Homewood","Cook","19728"
"60194","Schaumburg","Cook","19314"
"60805","Evergreen Park","Cook","19290"
"62656","Lincoln","Logan","19113"
"61101","Rockford","Winnebago","19083"
"62401","Effingham","Effingham","19068"
"62305","Quincy","Adams","19016"
"61104","Rockford","Winnebago","18886"
"60104","Bellwood","Cook","18799"
"60513","Brookfield","Cook","18537"
"61364","Streator","La Salle","18489"
"60642","Chicago","Cook","18480"
"60436","Joliet","Will","18378"
"60542","North Aurora","Kane","18363"
"60140","Hampshire","Kane","18148"
"60521","Hinsdale","Du Page","18095"
"62220","Belleville","St. Clair","17949"
"60131","Franklin Park","Cook","17711"
"61550","Morton","Tazewell","17565"
"60304","Oak Park","Cook","17536"
"61102","Rockford","Winnebago","17506"
"60465","Palos Hills","Cook","17197"
"62298","Waterloo","Monroe","17101"
"60084","Wauconda","Lake","16948"
"62223","Belleville","St. Clair","16642"
"60478","Country Club Hills","Cook","16573"
"62208","Fairview Heights","St. Clair","16517"
"61520","Canton","Fulton","16509"
"62035","Godfrey","Madison","16460"
"60154","Westchester","Cook","16255"
"61603","Peoria","Peoria","16083"
"60118","Dundee","Kane","16040"
"60433","Joliet","Will","16029"
"60455","Bridgeview","Cook","15998"
"62249","Highland","Madison","15811"
"60070","Prospect Heights","Cook","15729"
"60192","Schaumburg","Cook","15618"
"62568","Taylorville","Christian","15532"
"60429","Hazel Crest","Cook","15393"
"60458","Justice","Cook","15318"
"62522","Decatur","Macon","15256"
"60546","Riverside","Cook","15208"
"60064","North Chicago","Lake","15208"
"60417","Crete","Will","15187"
"62206","East Saint Louis","St. Clair","15157"
"61114","Rockford","Winnebago","14928"
"62966","Murphysboro","Jackson","14881"
"62629","Chatham","Sangamon","14831"
"60463","Palos Heights","Cook","14556"
"61605","Peoria","Peoria","14556"
"60601","Chicago","Cook","14513"
"61068","Rochelle","Ogle","14194"
"62294","Troy","Madison","14036"
"61764","Pontiac","Livingston","14015"
"61071","Rock Falls","Whiteside","14006"
"60191","Wood Dale","Du Page","13972"
"61853","Mahomet","Champaign","13963"
"62236","Columbia","Monroe","13956"
"60415","Chicago Ridge","Cook","13945"
"60447","Minooka","Grundy","13907"
"60471","Richton Park","Cook","13875"
"61866","Rantoul","Champaign","13863"
"60457","Hickory Hills","Cook","13831"
"60130","Forest Park","Cook","13808"
"61443","Kewanee","Henry","13686"
"60026","Glenview Nas","Cook","13667"
"60410","Channahon","Will","13521"
"60033","Harvard","Mchenry","13479"
"60545","Plano","Kendall","13476"
"62948","Herrin","Williamson","13390"
"62034","Glen Carbon","Madison","13388"
"60555","Warrenville","Du Page","13282"
"60558","Western Springs","Cook","13247"
"60526","La Grange Park","Cook","13178"
"60088","Great Lakes","Lake","12968"
"60633","Chicago","Cook","12720"
"60173","Schaumburg","Cook","12619"
"62052","Jerseyville","Jersey","12599"
"60554","Sugar Grove","Kane","12458"
"60712","Lincolnwood","Cook","12338"
"60152","Marengo","Mchenry","12323"
"62450","Olney","Richland","12274"
"62946","Harrisburg","Saline","12225"
"60548","Sandwich","De Kalb","12170"
"61548","Metamora","Woodford","11966"
"61944","Paris","Edgar","11901"
"60501","Summit Argo","Cook","11840"
"62896","West Frankfort","Franklin","11795"
"60950","Manteno","Kankakee","11604"
"60481","Wilmington","Will","11531"
"60176","Schiller Park","Cook","11499"
"60143","Itasca","Du Page","11490"
"60012","Crystal Lake","Mchenry","11456"
"62812","Benton","Franklin","11407"
"60442","Manhattan","Will","11310"
"61254","Geneseo","Henry","11310"
"60190","Winfield","Du Page","11255"
"61462","Monmouth","Warren","11177"
"62010","Bethalto","Madison","11123"
"61072","Rockton","Winnebago","11121"
"61523","Chillicothe","Peoria","10912"
"60305","River Forest","Cook","10883"
"61607","Peoria","Peoria","10846"
"62454","Robinson","Crawford","10788"
"60661","Chicago","Cook","10734"
"60482","Worth","Cook","10732"
"60097","Wonder Lake","Mchenry","10727"
"62881","Salem","Marion","10688"
"61065","Poplar Grove","Boone","10684"
"62960","Metropolis","Massac","10641"
"61356","Princeton","Bureau","10513"
"60020","Fox Lake","Lake","10500"
"61354","Peru","La Salle","10435"
"62095","Wood River","Madison","10415"
"61264","Milan","Rock Island","10413"
"60119","Elburn","Kane","10397"
"62471","Vandalia","Fayette","10330"
"60534","Lyons","Cook","10321"
"60915","Bradley","Kankakee","10313"
"60044","Lake Bluff","Lake","10259"
"61080","South Beloit","Winnebago","10053"
"62258","Mascoutah","St. Clair","9985"
"60514","Clarendon Hills","Du Page","9970"
"60171","River Grove","Cook","9957"
"62246","Greenville","Bond","9885"
"61301","La Salle","La Salle","9785"
"60475","Steger","Cook","9782"
"60523","Oak Brook","Du Page","9763"
"62024","East Alton","Madison","9731"
"60449","Monee","Will","9707"
"62918","Carterville","Williamson","9646"
"60464","Palos Park","Cook","9625"
"62207","East Saint Louis","St. Clair","9561"
"60081","Spring Grove","Mchenry","9532"
"60083","Wadsworth","Lake","9511"
"62233","Chester","Randolph","9482"
"62863","Mount Carmel","Wabash","9461"
"61727","Clinton","Dewitt","9425"
"60422","Flossmoor","Cook","9355"
"61525","Dunlap","Peoria","9318"
"60416","Coal City","Grundy","9090"
"60425","Glenwood","Cook","8965"
"62837","Fairfield","Wayne","8836"
"62056","Litchfield","Montgomery","8606"
"60042","Island Lake","Lake","8519"
"61834","Danville","Vermilion","8516"
"62832","Du Quoin","Perry","8479"
"61342","Mendota","La Salle","8474"
"62049","Hillsboro","Montgomery","8450"
"62203","East Saint Louis","St. Clair","8393"
"61874","Savoy","Champaign","8393"
"61606","Peoria","Peoria","8317"
"60022","Glencoe","Cook","8245"
"62274","Pinckneyville","Perry","8237"
"60041","Ingleside","Lake","8224"
"60069","Lincolnshire","Lake","8218"
"62204","East Saint Louis","St. Clair","8215"
"62062","Maryville","Madison","8107"
"60162","Hillside","Cook","7996"
"60136","Gilberts","Kane","7941"
"61856","Monticello","Piatt","7935"
"62707","Springfield","Sangamon","7850"
"61282","Silvis","Rock Island","7693"
"60155","Broadview","Cook","7677"
"61951","Sullivan","Moultrie","7617"
"62626","Carlinville","Macoupin","7605"
"61341","Marseilles","La Salle","7599"
"60401","Beecher","Will","7590"
"61010","Byron","Ogle","7354"
"62565","Shelbyville","Shelby","7162"
"62439","Lawrenceville","Lawrence","7143"
"62557","Pana","Christian","7087"
"61241","Colona","Henry","7077"
"62205","East Saint Louis","St. Clair","7016"
"62821","Carmi","White","7000"
"60135","Genoa","De Kalb","6994"
"62618","Beardstown","Cass","6966"
"62441","Marshall","Clark","6953"
"62906","Anna","Union","6892"
"62260","Millstadt","St. Clair","6845"
"62231","Carlyle","Clinton","6776"
"61270","Morrison","Whiteside","6739"
"60096","Winthrop Harbor","Lake","6687"
"61036","Galena","Jo Daviess","6652"
"61530","Eureka","Woodford","6624"
"62012","Brighton","Jersey","6605"
"61061","Oregon","Ogle","6555"
"62201","East Saint Louis","St. Clair","6542"
"60970","Watseka","Iroquois","6509"
"62232","Caseyville","St. Clair","6442"
"62839","Flora","Clay","6409"
"62088","Staunton","Macoupin","6376"
"62230","Breese","Clinton","6359"
"61088","Winnebago","Winnebago","6348"
"62278","Red Bud","Randolph","6345"
"62549","Mt Zion","Macon","6229"
"61873","Saint Joseph","Champaign","6129"
"62286","Sparta","Randolph","6066"
"62243","Freeburg","St. Clair","6023"
"60468","Peotone","Will","5986"
"62254","Lebanon","St. Clair","5896"
"61240","Coal Valley","Rock Island","5889"
"62995","Vienna","Johnson","5875"
"62930","Eldorado","Saline","5825"
"61616","Peoria","Peoria","5825"
"60942","Hoopeston","Vermilion","5800"
"61953","Tuscola","Douglas","5783"
"62684","Sherman","Sangamon","5773"
"62675","Petersburg","Menard","5770"
"62615","Auburn","Sangamon","5739"
"60954","Momence","Kankakee","5706"
"62563","Rochester","Sangamon","5653"
"62859","Mc Leansboro","Hamilton","5610"
"60408","Braidwood","Will","5601"
"60021","Fox River Grove","Mchenry","5592"
"62681","Rushville","Schuyler","5534"
"60469","Posen","Cook","5482"
"62363","Pittsfield","Pike","5472"
"61362","Spring Valley","Bureau","5450"
"60957","Paxton","Ford","5418"
"62448","Newton","Jasper","5417"
"62225","Scott Air Force Base","St. Clair","5323"
"61231","Aledo","Mercer","5319"
"60040","Highwood","Lake","5293"
"62561","Riverton","Sangamon","5289"
"61252","Fulton","Whiteside","5246"
"60551","Sheridan","La Salle","5200"
"62353","Mount Sterling","Brown","5103"
"60163","Berkeley","Cook","5079"
"61610","Creve Coeur","Tazewell","5074"
"61911","Arthur","Douglas","5021"
"60480","Willow Springs","Cook","5009"
"61846","Georgetown","Vermilion","4979"
"60472","Robbins","Cook","4968"
"61016","Cherry Valley","Winnebago","4925"
"62239","Dupo","St. Clair","4919"
"60964","Saint Anne","Kankakee","4884"
"61275","Port Byron","Rock Island","4878"
"62951","Johnston City","Williamson","4878"
"61910","Arcola","Douglas","4848"
"60165","Stone Park","Cook","4842"
"62644","Havana","Mason","4814"
"62263","Nashville","Washington","4785"
"62285","Smithton","St. Clair","4744"
"62033","Gillespie","Macoupin","4716"
"60420","Dwight","Livingston","4699"
"61755","Mackinaw","Tazewell","4695"
"60195","Schaumburg","Cook","4689"
"60461","Olympia Fields","Cook","4677"
"62466","Sumner","Lawrence","4631"
"61025","East Dubuque","Jo Daviess","4590"
"61739","Fairbury","Livingston","4573"
"61745","Heyworth","Mclean","4571"
"62420","Casey","Clark","4510"
"60112","Cortland","De Kalb","4505"
"61738","El Paso","Woodford","4484"
"60552","Somonauk","De Kalb","4443"
"61568","Tremont","Tazewell","4405"
"61752","Le Roy","Mclean","4388"
"61348","Oglesby","La Salle","4358"
"61074","Savanna","Carroll","4299"
"61883","Westville","Vermilion","4262"
"60203","Evanston","Cook","4248"
"60151","Maple Park","Kane","4248"
"61063","Pecatonica","Winnebago","4236"
"60456","Hometown","Cook","4216"
"62293","Trenton","Clinton","4176"
"62411","Altamont","Effingham","4170"
"62467","Teutopolis","Effingham","4168"
"62902","Carbondale","Jackson","4161"
"60936","Gibson City","Ford","4074"
"61547","Mapleton","Peoria","4035"
"62613","Athens","Menard","4024"
"62265","New Baden","Clinton","4019"
"61064","Polo","Ogle","3988"
"62014","Bunker Hill","Macoupin","3918"
"60421","Elwood","Will","3907"
"62060","Madison","Madison","3881"
"61410","Abingdon","Knox","3877"
"60518","Earlville","La Salle","3854"
"61448","Knoxville","Knox","3835"
"61880","Tolono","Champaign","3823"
"61048","Lena","Stephenson","3775"
"62690","Virden","Macoupin","3765"
"61310","Amboy","Lee","3764"
"61054","Mount Morris","Ogle","3660"
"60541","Newark","Kendall","3615"
"62016","Carrollton","Greene","3604"
"60071","Richmond","Mchenry","3602"
"61546","Manito","Mason","3589"
"62321","Carthage","Hancock","3589"
"62075","Nokomis","Montgomery","3564"
"61559","Princeville","Stark","3493"
"62806","Albion","Edwards","3467"
"62341","Hamilton","Hancock","3449"
"61517","Brimfield","Peoria","3442"
"61542","Lewistown","Fulton","3439"
"62535","Forsyth","Macon","3429"
"62447","Neoga","Cumberland","3428"
"62938","Golconda","Pope","3379"
"62275","Pocahontas","Bond","3373"
"62264","New Athens","St. Clair","3357"
"61360","Seneca","La Salle","3307"
"62558","Pawnee","Sangamon","3295"
"62640","Girard","Macoupin","3273"
"61277","Prophetstown","Whiteside","3247"
"62550","Moweaqua","Shelby","3224"
"62069","Mount Olive","Macoupin","3216"
"60606","Chicago","Cook","3204"
"62903","Carbondale","Jackson","3167"
"62664","Mason City","Mason","3159"
"60145","Kingston","De Kalb","3158"
"61273","Orion","Henry","3146"
"61422","Bushnell","Mcdonough","3116"
"61531","Farmington","Fulton","3110"
"62920","Cobden","Union","3109"
"61084","Stillman Valley","Ogle","3102"
"61753","Lexington","Mclean","3094"
"62922","Creal Springs","Williamson","3089"
"61238","Cambridge","Henry","3081"
"62449","Oblong","Crawford","3069"
"60940","Grant Park","Kankakee","3062"
"61085","Stockton","Jo Daviess","3042"
"61019","Davis","Stephenson","3040"
"62694","Winchester","Scott","3014"
"62952","Jonesboro","Union","3006"
"62924","De Soto","Jackson","3001"
"60301","Oak Park","Cook","2998"
"61020","Davis Junction","Ogle","2971"
"60520","Hinckley","De Kalb","2958"
"62858","Louisville","Clay","2950"
"61536","Hanna City","Peoria","2907"
"62018","Cottage Hills","Madison","2896"
"61858","Oakwood","Vermilion","2885"
"62097","Worden","Madison","2883"
"61528","Edwards","Peoria","2862"
"61434","Galva","Henry","2859"
"62822","Christopher","Franklin","2854"
"62417","Bridgeport","Lawrence","2854"
"61529","Elmwood","Peoria","2839"
"62092","White Hall","Greene","2814"
"61956","Villa Grove","Douglas","2806"
"62216","Aviston","Clinton","2793"
"62288","Steeleville","Randolph","2774"
"62428","Greenup","Cumberland","2764"
"62442","Martinsville","Clark","2763"
"61734","Delavan","Tazewell","2760"
"60157","Medinah","Du Page","2740"
"61537","Henry","Marshall","2725"
"62281","Saint Jacob","Madison","2718"
"61250","Erie","Whiteside","2716"
"61723","Atlanta","Logan","2688"
"62884","Sesser","Franklin","2679"
"61540","Lacon","Marshall","2676"
"61748","Hudson","Mclean","2657"
"60953","Milford","Iroquois","2651"
"62939","Goreville","Johnson","2612"
"61012","Capron","Boone","2594"
"62670","New Berlin","Sangamon","2585"
"62082","Roodhouse","Greene","2584"
"61756","Maroa","Macon","2575"
"60922","Chebanse","Iroquois","2571"
"62846","Ina","Jefferson","2563"
"61053","Mount Carroll","Carroll","2560"
"61842","Farmer City","Dewitt","2556"
"61024","Durand","Winnebago","2515"
"62501","Argenta","Macon","2496"
"62044","Greenfield","Greene","2487"
"62869","Norris City","White","2472"
"62320","Camp Point","Adams","2461"
"61281","Sherrard","Mercer","2455"
"60184","Wayne","Du Page","2447"
"62424","Dieterich","Effingham","2447"
"61726","Chenoa","Mclean","2442"
"61817","Catlin","Vermilion","2436"
"62326","Colchester","Mcdonough","2434"
"60556","Waterman","De Kalb","2406"
"61924","Chrisman","Edgar","2394"
"62548","Mount Pulaski","Logan","2388"
"62468","Toledo","Cumberland","2383"
"60043","Kenilworth","Cook","2356"
"61046","Lanark","Carroll","2325"
"61533","Glasford","Peoria","2315"
"60476","Thornton","Cook","2313"
"61011","Caledonia","Boone","2308"
"61561","Roanoke","Woodford","2307"
"61843","Fisher","Champaign","2307"
"62087","South Roxana","Madison","2304"
"61760","Minonk","Woodford","2296"
"62917","Carrier Mills","Saline","2292"
"60424","Gardner","Grundy","2279"
"62080","Ramsey","Fayette","2278"
"62237","Coulterville","Randolph","2269"
"62890","Thompsonville","Franklin","2269"
"62458","Saint Elmo","Fayette","2266"
"62882","Sandoval","Marion","2252"
"61030","Forreston","Ogle","2248"
"62257","Marissa","St. Clair","2236"
"60146","Kirkland","De Kalb","2235"
"62888","Tamaroa","Perry","2231"
"60034","Hebron","Mchenry","2230"
"62910","Brookport","Massac","2224"
"62067","Moro","Madison","2200"
"61833","Tilton","Vermilion","2191"
"61326","Granville","Putnam","2166"
"62935","Galatia","Saline","2161"
"61469","Oquawka","Henderson","2160"
"62926","Dongola","Union","2152"
"60927","Clifton","Iroquois","2150"
"62692","Waverly","Morgan","2148"
"60941","Herscher","Kankakee","2146"
"62685","Shipman","Macoupin","2141"
"61535","Groveland","Tazewell","2117"
"61732","Danvers","Mclean","2116"
"62691","Virginia","Cass","2116"
"62914","Cairo","Alexander","2116"
"61373","Utica","La Salle","2108"
"62870","Odin","Marion","2103"
"62215","Albers","Clinton","2102"
"62312","Barry","Pike","2101"
"62418","Brownstown","Fayette","2101"
"61491","Wyoming","Stark","2099"
"60150","Malta","De Kalb","2077"
"61062","Pearl City","Stephenson","2075"
"62898","Woodlawn","Jefferson","2071"
"62849","Iuka","Marion","2070"
"61427","Cuba","Fulton","2066"
"61849","Homer","Champaign","2059"
"61256","Hampton","Rock Island","2041"
"61415","Avon","Fulton","2041"
"62677","Pleasant Plains","Sangamon","2039"
"61725","Carlock","Mclean","2018"
"62844","Grayville","White","2012"
"62451","Palestine","Crawford","2005"
"60531","Leland","La Salle","2004"
"62958","Makanda","Jackson","1999"
"62838","Farina","Fayette","1997"
"62865","Mulkeytown","Franklin","1973"
"61736","Downs","Mclean","1968"
"62427","Flat Rock","Crawford","1957"
"62974","Pittsburg","Williamson","1955"
"62360","Payson","Adams","1949"
"62272","Percy","Randolph","1947"
"61376","Walnut","Bureau","1934"
"62245","Germantown","Clinton","1933"
"62351","Mendon","Adams","1933"
"60444","Mazon","Grundy","1927"
"61483","Toulon","Stark","1923"
"62271","Okawville","Washington","1914"
"62218","Bartelso","Clinton","1896"
"62823","Cisne","Wayne","1890"
"61534","Green Valley","Tazewell","1881"
"62340","Griggsville","Pike","1879"
"62009","Benld","Macoupin","1874"
"62907","Ava","Jackson","1870"
"62868","Noble","Richland","1852"
"60180","Union","Mchenry","1846"
"62262","Mulberry Grove","Bond","1838"
"61285","Thomson","Carroll","1828"
"60938","Gilman","Iroquois","1828"
"62037","Grafton","Jersey","1822"
"61914","Bethany","Moultrie","1816"
"61744","Gridley","Mclean","1811"
"61028","Elizabeth","Jo Daviess","1809"
"62330","Dallas City","Hancock","1807"
"62814","Bluford","Jefferson","1804"
"62999","Zeigler","Franklin","1802"
"62379","Warsaw","Hancock","1800"
"61937","Lovington","Moultrie","1796"
"61450","La Harpe","Hancock","1776"
"61864","Philo","Champaign","1769"
"62048","Hartford","Madison","1769"
"61570","Washburn","Marshall","1767"
"61047","Leaf River","Ogle","1749"
"62047","Hardin","Calhoun","1747"
"60511","Big Rock","Kane","1746"
"61501","Astoria","Fulton","1741"
"62808","Ashley","Washington","1740"
"60407","Braceville","Grundy","1730"
"62347","Liberty","Adams","1726"
"62414","Beecher City","Effingham","1724"
"62061","Marine","Madison","1718"
"60913","Bonfield","Kankakee","1717"
"61943","Oakland","Coles","1711"
"62531","Edinburg","Christian","1707"
"61235","Atkinson","Henry","1706"
"62366","Pleasant Hill","Pike","1702"
"61741","Forrest","Livingston","1679"
"61283","Tampico","Whiteside","1671"
"60512","Bristol","Kendall","1671"
"61284","Taylor Ridge","Rock Island","1669"
"62824","Clay City","Clay","1665"
"60948","Loda","Iroquois","1663"
"62544","Macon","Macon","1663"
"62895","Wayne City","Wayne","1662"
"62513","Blue Mound","Macon","1658"
"62571","Tower Hill","Shelby","1650"
"62520","Dawson","Sangamon","1646"
"61031","Franklin Grove","Lee","1639"
"62693","Williamsville","Sangamon","1639"
"62674","Palmyra","Macoupin","1635"
"60921","Chatsworth","Livingston","1627"
"60955","Onarga","Iroquois","1626"
"61813","Bement","Piatt","1618"
"62443","Mason","Effingham","1618"
"61818","Cerro Gordo","Piatt","1614"
"61957","Windsor","Shelby","1613"
"61070","Rock City","Stephenson","1598"
"60602","Chicago","Cook","1596"
"62084","Roxana","Madison","1592"
"62612","Ashland","Cass","1590"
"62546","Morrisonville","Christian","1589"
"62828","Dahlgren","Hamilton","1580"
"61865","Potomac","Vermilion","1580"
"61369","Toluca","Marshall","1576"
"62984","Shawneetown","Gallatin","1572"
"62554","Oreana","Macon","1566"
"62510","Assumption","Christian","1554"
"61877","Sidney","Champaign","1551"
"62001","Alhambra","Madison","1540"
"62573","Warrensburg","Macon","1540"
"62476","West Salem","Edwards","1539"
"61377","Wenona","Marshall","1531"
"61913","Atwood","Douglas","1528"
"62899","Xenia","Clay","1517"
"61006","Ashton","Lee","1515"
"62854","Kinmundy","Marion","1515"
